ID,q,a
55,下列动物中睡觉时“睁一只眼闭一只眼”是？A.鳄鱼B.大象C.斑马D.河马,A.鳄鱼
56,月球绕地球一周的时间是？A、24小时B、27天C、30天D、35天,B、27天
57,常坐在电脑前的人应该多吃哪种水果预防癌症?A、香蕉B、苹果C、蓝莓D、车厘子,B、苹果
58,新官上任三把火”最初指的是谁?A、诸葛亮B、刘备C、曹操D、刘表,A、诸葛亮
59,世界上平均海拔最低的国家是？A.日本B.荷兰C.新加坡D.南非,B.荷兰
60,“上班”源于宋朝，全称为?A、坐牢B、上朝C、上朝班D、上衙门,C、上朝班
61,天安门”最初叫什么?A、南天门B、宣武门C、天安门D、承天门,D、承天门
62,孔融让梨是把梨让给了谁?A.姐姐B.哥哥C.弟弟D.妹妹,B.哥哥
63,长城共有多少个关?A.10个B.13个C.16个D.20个,B.13个
64,戴耳塞1小时，耳朵里的细菌数量将是原来的多少倍?A.20B.100C.500D.700,D.700
65,新中国第一个解放的城市是?A.广州B.西藏C邯郸D.哈尔滨,D.哈尔滨
66,人体的第一次心跳是什么时候开始的?A、胚胎发育到第3天B、胚胎发育到第3星期C、胚胎发育到第3个月D、出生时,B、胚胎发育到第3星期
67,从解剖学的角度来看，动物中最聪明的是哪一个?A八哥B海豚C猴子D鹦鹉,B海豚
68,孙悟空的金箍棒重多少斤?A.10000B.13500C.15000D.18500,B.13500
69,蝉发出“知-了、知-了”鸣叫声的器官是?A嘴B鼻C翅膀D瓣膜,D瓣膜
70,中国老百姓开始一日三餐是在?A.宋代B.明代C.秦代D.唐代,A.宋代
71,开国大典上，中国空军共出动了多少架飞机参加阅兵?A15B16C17D18,C17
72,2023年11月7日，由世界互联网大会和浙江省人民政府主办的世界互联网大会“()”博览会在浙江乌镇开幕？A.互联网之光B.乌镇之光C.互联网之梦D.乌镇之梦,A.互联网之光
73,冻疮是由于皮肤哪一部分受损引起的?A.毛囊B.汗腺C.竖毛肌D.毛细血管,D.毛细血管
74,料酒中的酒是什么酒?A.白酒B.红酒C黄酒D.啤酒,黄酒
75,强国必先( )A.强人B.强农C.强工D.强军,B.强农
76,红绿灯最初是给什么车设计的？A.马车B.汽车C.火车D.动车,A.马车
77,树倒湖孙散中的“树”是指?A.秦桧B.严嵩C.魏忠贤D.李林甫,A.秦桧
78,"金木水火土""中的""金”指？A.生长B.破灭C融合D.敛聚",D.敛聚
79,通常所说的白色污染是指？A.工厂排出的烟尘B.石灰窑产出的粉尘C.可卡因、海洛因等毒品D.聚乙 烯等塑料垃圾,D.聚乙 烯等塑料垃圾
80,人全身有多少块肌肉?A、300多块B、500多块C、600多块D、900多块,C、600多块
81,苍蝇吃起来的味道是?A酸味B.甜味C苦味D.臭味,B.甜味
82,结婚时的“囍”是谁发明的?A.白居易B.苏轼C.王安石D.唐太宗,C.王安石
83,国旗旗杆的高度是?A: 26.3米B:28.3米C:30.3米D:32.3米,B:28.3米
84,吹牛吹的是牛的哪个器官?A、皮肤B、耳朵C、肺D、心脏,A、皮肤
85,孔子教学生要收取的学费是什么？A、肉干B、粮食C、劳动力D、木柴,A、肉干
86,买回来的蔬莱怎样放才合适?A、平放B、倒放C、竖放,C、竖放
87,可以通过屁股呼吸的是?A、企鹅B、鸵鸟C、乌龟D、青蛙,C、乌龟
88,下列从未见过父母的动物是?A、海龟B、熊猫C、乌鸦D、海豚,A、海龟
89,“单身”需缴税出现在哪个朝代?A.汉朝B.唐朝C宋朝D.元朝,A.汉朝
90,下列动物中不能眨眼的是？A:蛇B:青蛙C:乌龟D:马,A:蛇
91,花期最短的花是什么花?A:县花B:小麦花C:短命菊D:吊兰花,B:小麦花
92,下列烹饪手法中生成丙烯酷胺最少的是？A:干煽四季豆B:炸油条C:白灼虾D:炒白菜,C:白灼虾
93,照相机是仿照什么动物发明的？A:蝴蝶B:苍蝇C:蛇D:蝙蝠,B:苍蝇
94,为什么蜘蛛不会被自己的网黏住?A :蜘蛛的腿毛可以防止被黏住B :蜘蛛和蜘蛛网接触面积小，不会被黏住C :蜘蛛能分泌一种粘性物质D : 蜘蛛能分泌一种油性物质,D : 蜘蛛能分泌一种油性物质
95,要使鲜花插得久一些，可以()A:在水里加醋B:在水里加洗衣粉C:将花枝的剪口用火烧一下D:将花枝的剪口用胶带包好,
96,二战期间，空军部队作战之前，先头飞机会将大量铝箔条投放于空中，飞机投放铝箔条的目的是？A.夜间照明B催燃助燃C.干扰雷达D空袭定位,C.干扰雷达
97,以下几位历史人物谁在家排行老大?A.孔子B、诸葛亮C、班固D、程顾,C、班固
98,WiFi之母是?A.斯蒂芬妮B.海蒂·拉玛C.约翰·沙利文D.卡尔·本茨,B.海蒂·拉玛
99,自然学科中最早出现的学科是?A.医学B.数学C.天文学D.地理学,C.天文学
100,我国四大经典玩具是七巧板、鲁班锁、华容道和？A.魔方B.九连环C.拨浪鼓D.皮影戏,B.九连环
101,人体一年承受的辐射在多少范围时，骨骼与骨密度会受到严重破坏?A.100-500毫西弗B.1000-2000毫西弗C.2000-4000毫西弗D.4000毫西弗以上,C.2000-4000毫西弗
102,我国海岸线最长的省份是？a、福建 B、山东 c、广东 d、浙江,c、广东
103,烂醉如泥的泥指的是？a、土壤 b、泥巴 c、泥水 d、虫子,d、虫子
104,退出中国国籍需要（）元？a、5 b、10 c、250 d、500,c、250
105,一杯热水和一杯冷水同时放冰箱，哪个先结冰?A.热水B.冷水C.同时D.不确定,A.热水
106,元旦节日最早起源于?A、古印度B、古埃及C、古希腊D、古巴比伦,B、古埃及
107,动物界中种类最多、数量最大分布最广的动物是哪种动物?A 两栖动物B 哺乳动物C 节肢动物D 爬行动物,C 节肢动物
108,哪种动物一只脚有四个膝盖?A鳄鱼B大象C 犀牛D 狮子,B大象
109,毛笔“狼毫的原料取自什么动物?A狼B 狼狗C黄鼠狼D豺,C黄鼠狼
110,人每过多少天换一层表皮?A、15-17 B、18-20 C、27-28 D、30-32,C、27-28
111,咫尺天涯的“咫”和”尺”哪个更长？A、咫 B、尺 C、一样长,B、尺
112,少年儿童发育最快的系统是哪一个?A神经系统B 消化系统C血液循环系统D 呼吸系统,A神经系统
113,京剧是在何时开始形成的?A、唐朝B、明朝C、清朝D、宋朝,C、清朝
114,中国现存最早用纸作画的作品是？A《清明上河图》B《洛神赋图》C《五牛图》,C《五牛图》
115,世界热极在哪里?A 巴士拉B 越卡特C 古拉的D 德约罗,A 巴士拉
116,木本植物中，哪一种生长最快?A松树B 樟树C 毛竹D杉树,C 毛竹
117,血小板减少时适宜多吃什么有助再次回升?A 稻谷皮B 花生米衣C小麦精芽D瘦肉,B 花生米衣
118,上古时期最聪明的恐龙是?A 机械龙B霸王龙C伤齿龙D 地震龙,C伤齿龙
119,以下那座山脉是最长的?A 喜马拉雅山脉B 安第斯山脉C 落基山脉D 阿尔卑斯山脉,B 安第斯山脉
120,"蟋蟀的""耳朵”长在身体的什么位置?A头顶上B 前足的小腿节上C 触须上D 翅膀上",B 前足的小腿节上
121,柿饼上的白霜是果肉里析出的什么糖?A 蔗糖B葡萄糖C 麦芽糖D 乳糖,B葡萄糖
122,刺猬身上的刺朝什么方向生长?A、向上 B、向下 C、向左右 D、随便乱长,D、随便乱长
123,唯一-种身上长有植物的动物是哪种?A、蜥蜴 B、大猩猩 C、树懒 D、考拉, C、树懒
124,人体一共有多少个足以致命的六位?A、18 B、36C、72D、108,B、36
125,扑克最初是哪个国家发明的?A、美国 B、英国 C、中国 D、法国,C、中国
126,世界上第一个无产阶级政党叫什么?A、德国社会民主工党 B、苏维埃共产党 C、中国共产党 D、美国共和党,A、德国社会民主工党
127,哪一种食物晚餐食用会妨碍睡眠?A、红薯 B、火龙果 C、龙眼 D、牛奶,A、红薯
128,沏茶叶的最佳水温是多少摄氏度?A、70 B、80 C、90 D、100,C、90
129,双管齐下”最初是指什么?A、书法 B、舞蹈 C、绘画 D、吃饭,C、绘画
130,为什么我们说“天字第一号”?A、原为“天下第一号”后讹变 B、古人认为“天”是万物最大的 C、“天”是千字文中第一个字,C、“天”是千字文中第一个字
131,世界上最甜的物质是?A、卡坦精 B、碳硼烷酸的化合物 C、碳氢化合物 D、五氧化二磷P205,A、卡坦精
132,中国第一座佛教寺庙是?A、少林寺 B、白马寺 C、清凉寺 D、普济寺, B、白马寺
133,中国沿海最大的群岛是?A、西沙群岛 B、舟山群岛 C、辽东半岛 D、山东半岛, B、舟山群岛
134,世界上唯一有三个首都的国家是?A、南非 B、美国 C、日本 D、希腊,A、南非 
135,“木马”这个名字来源于古希腊的哪场战争?A.希波战争B.特洛伊战争C.七年战争,B.特洛伊战争
136,“中国共产党”这一称谓的最早提出者是 ？A.蔡和森　　 B.毛泽东　　 C.陈独秀   D.李大钊,A.蔡和森
137,《中国居民膳食指南》指出，每人每天油脂摄入量应控制在多少？A．15g      B．25g     C．35g       D．45g,B．25g 
138,《中国居民膳食指南》指出，每人每天盐摄入量应控制在多少以下？A  ．6克      B．8克      C．10克      D．12克,A  ．6克
139,中国居民合理膳食建议男性每日摄入酒精不超过？A．15克     B．25克     C．20克      D．30克,B．25克
140,食道癌的早期主要报警信号为？A．胸痛    B．食道内异物感    C．消化不良        D．吐血,B．食道内异物感
141,我国1-14岁儿童意外伤害死亡原因中占第一位的是？A．煤气中毒    B．溺水     C．车祸      D．自杀,B．溺水
142,高血压的发生与下列哪种调味品的摄入密切相关？A、食盐 B、味精 C、醋 D、糖,A、食盐
143,"下列食物每天的摄入量由多到少的排序，哪个更合理？A、谷类 ﹥ 蔬菜、水果 ﹥ 肉蛋奶类 ﹥ 油脂
B、蔬菜、水果 ﹥ 谷类 ﹥ 肉蛋奶类 ﹥ 油脂
C、谷类 ﹥ 肉蛋奶类 ﹥ 蔬菜、水果 ﹥ 油脂
D、肉蛋奶类 ﹥ 蔬菜、水果 ﹥ 谷类 ﹥ 油脂",B、蔬菜、水果 ﹥ 谷类 ﹥ 肉蛋奶类 ﹥ 油脂
144,世界卫生组织的研究结果提示：个人的健康和寿命有_____取决于自己？A、80% B、60% C、40% D、20%,B、60%
145,被公认为世界上最好的运动方式是？A、慢跑 B、步行 C、有氧操 D、打球,B、步行
146,下列不属于《三十六计》的是？A、浑水摸鱼B、反戈一击C、笑里藏刀D、反客为主,B、反戈一击
147,“床前明月光”的“床”指的是什么？A、窗户B、卧具C、井上的围栏,C、井上的围栏
148,《百家姓》中没有下面哪个姓？A、乌B、巫C、肖D、萧,C、肖
149,“美”字最初的含义是？A、羊大即为美B、戴着头饰站立的人C、土地里生长的花朵D、远方茂盛的森林,B、戴着头饰站立的人
150,在我国风俗中，常常避讳73和84这两个岁数，因为这是两位历史人物去世的年龄，他们是？A、孔子和孟子B、老子和庄子C、汉高祖和汉武帝D、周武王和周文王,A、孔子和孟子
151, “态生两靥之愁，娇袭一身之病”中“靥”是指？A、酒窝B、眼睛C 、嘴角D 、腮帮,、酒窝
152,“羽扇纶巾”形容的是下面哪位历史人物？A、诸葛亮B、周瑜C、曹操,B、周瑜
153,“成吉思汗”的意思是？A、天空B 、大海C、草原D 、高山,B 、大海
154,木版年画发源于四大名镇中的哪个名镇？A、汉口镇B、景德镇C、朱仙镇D、佛山镇,C、朱仙镇
155,天干地支纪年始于汉代，请问这种纪年是以哪一天为起点的？A、除夕B、正月初一C、立春D、春分,C、立春
156,郑和船队带回了一只西方异域兽“麒麟”，就是现在我们所知的？A、狮子B、金钱豹C、河马D、长颈鹿,D、长颈鹿
157,“大材小用”形容的是下面哪位人物？A、韩愈B、辛弃疾C、庞统D、宋玉,B、辛弃疾
158,下列概念中，()表明材料的耐水性？A、质量吸水率 B、体积吸水率 C、孔隙水饱和系数 D、软化系数,D、软化系数
159,历史上确有“单刀赴会”一事，赴会的是？A、赵云B、张飞C、周瑜D、鲁肃,D、鲁肃
160,"爆竹声中一岁除，春风送暖入屠苏，这里的""屠苏""指的是？A.苏州 B.房屋 C.酒 D.庄稼", C.酒
161,塑料(如玻璃钢) 与一般传统材料比较，其( )高？A、抗拉强度 B、抗压强度 C、弹性模量 D、比强度,D、比强度
162,下列不属于《三十六计》的是？A.浑水摸鱼 B.反戈一击 C.笑里藏刀 D.反客为主,B.反戈一击 
163,苹果中含有增强记忆力的微量元素是?A、铁 B锌C钙 D、碘,B锌
164,低碳钢的含碳量小于？A、0.4 B、0.6 C、0.25 D、3.0,C、0.25
165,方便面里必然有哪种食品添加剂?A、防腐剂 B、合成抗氧化剂 C、食用色素 D、漂白剂, B、合成抗氧化剂 
166,自然界中，有“智慧元素”之称的是？A、铁 B碘C钙D、锌,B碘
167,红砖是在()条件下烧成的？A、氧化焰 B、还原焰 C、先氧化焰后还原焰D、先还原焰后氧化焰,A、氧化焰
168,食品的保质期是指它的？A、生产日期 B、最终食用期 C、最佳食用期 D出厂日期,C、最佳食用期
169,哈雷慧星多少年出现一次?A.75年 B.76年C.77年 D.78年,B.76年
170,普通碳钢按屈服点、质量等级及脱氧方法划分若干个牌号，随牌号提高，钢材的a、强度提高，伸长率提高 b、强度提高，伸长率降低 c、强度降低，伸长率降低 d、强度降低，伸长率提高,b、强度提高，伸长率降低 
171,“敖包相会”中的“敖包”是？A.小土山 B.蒙古包 C石堆 D.河流, C石堆 
172,亚洲大陆中心点位于哪里？a、乌兹别克斯坦 b、阿富汗 c、中国 d、哈萨克斯坦,c、中国
173,密度是指材料在()单位体积的质量？A、自然状态 B、绝对体积近似值 C、绝对密实状态 D、松散状态,C、绝对密实状态
174,我国跨纬度最广的省级行政区是？A. 新疆B.西藏C.海南D.云南,C.海南
175,偃旗息鼓“偃”的意思是？A.摘下 B.收起 C停止 D.放倒, D.放倒
176,不属于防止混凝士中钢筋腐蚀的主要措施有？A、提高混凝土的密实度 b、钢筋表面用碱处理 c、钢筋表面刷漆 D、混凝土中加阻锈剂,b、钢筋表面用碱处理
177,“入木三分”典故原意用来形容？A.雕刻技术高 B.文章深刻 C书法笔力强劲 D射箭本领高, C书法笔力强劲
178,"“鲁提辖拳打镇关西”,第二拳打在郑屠的？A.鼻子上 B.眼睛上 C.太阳穴上",B.眼睛上
179,经常位于水中或受潮严重的重要结构物的材料，其软化系数不宜小于？A、0.75-0.80 B、0.70-0.85C、0.85-0.90 D、0.90-0.95,0.85-0.90 
180,有“电影王国”之称的是？ A.美国B.英国C.法国D.印度,D.印度
181,文艺复兴时期的《忏悔录》是谁写的？A.卢梭 B.契科夫 C.高尔基 D.列夫托尔斯泰,A.卢梭
182,建筑结构中，主要起吸声作用且平均吸声系数大于( )的材料称为吸声材料A、0.1 B、0.2 C、0.3 D、0.4,B、0.2
183,玛雅人流传于世的水晶头骨共有？A.11个 B.12个 C.15个 D.13个,D.13个
184,日本偷袭珍珠港的暗号是？A、闪电闪电B、虎虎虎C、土豆土豆D、地瓜地瓜,B、虎虎虎
185,孔隙率增大，材料的( ) 降低？A、密度 B、憎水性 C、抗冻性 D、表观密度,D、表观密度
186,不夜城是指？A、漠河B、上海C、西安D、拉萨,A、漠河
187,"我国专门进行核试验的""原子城""位于？A、新疆B、内蒙古C、青海D、四川",C、青海
188,木材在使用前应使其含水率达到？A、纤维饱和点 B、平衡含水率 C、饱和含水率 D、绝对干爆状态,A、纤维饱和点
189,"夜郎自大中""夜郎""是指？A、国家B、学者C、国王D、官职",A、国家
190,"被称为""百味之首""的味道是？A、酸味B、甜味C、苦味D、咸味",D、咸味
191,木材在低于纤维和点的情况下干燥时，各方面的收缩值为？A、纵向>径向>弦向 B、径向>弦向>纵向 C、纵向>弦向>径 D、弦向>径向>纵向,D、弦向>径向>纵向
192,诗经共有多少篇？A、305 B、300 C、311 D、420,A、305
193,朝鲜战争的拐点是哪次战役？A、金城战役 B、长津湖战役 C、上甘岭战役 D 、飞虎山阻击战, B、长津湖战役
194,材料在水中吸收水分的性质称为？A、吸湿性B、吸水性 C、耐水性D、渗诱性,B、吸水性 
195,地震多发生在?A、上地幔 B、下地幔 C、地核 D、地壳,D、地壳
196,弄璋之喜是指？A、女子出嫁 B、婴儿满月 C、喜得女孩 D、喜得男孩,D、喜得男孩
197,非承重外墙，应优先选用？A.烧结普通砖B.竖孔空心砖C.水平空心砖D.石膏板,C.水平空心砖
198,司空见惯指见惯了什么？A.美女B.帅哥C.金钱D.夜明珠,A.美女
199,强扭的瓜不甜中扭的是什么瓜？A.冬瓜B.西瓜C.哈密瓜D.八月瓜,D.八月瓜
200,“百事可乐”一词最早出自于谁？A.李白B.苏轼C.杜甫D.白居易,B.苏轼
201,岳飞背后刻的是( )忠报国?A.精B.尽C.金D.京,B.尽
202,屈原姓什么?A 屈B.姬C.芈D.原,C.芈
203,西游记里谁挑的担子最多？A.猪八戒B.孙悟空C.沙僧D.唐僧,A.猪八戒
204,阎王爷的真名是？A.蒋子文B.李逵C.崔钰D.张福德,A.蒋子文
205,亚运会中吃饭时不能添加的调料是?A、八角B、桂皮C、丁香D、小芭香,A、八角
206,馄饨是为了纪念谁？A、屈原b、盘古c、诸葛亮d、岳飞,b、盘古
207,油条是为了纪念谁？a、岳飞b、伍子胥c、东方塑d、诸葛亮,a、岳飞
208,三种动物中谁的颈椎数最多?A、长颈鹿B、棕熊C、鲸D、一样多,D、一样多
209,“爆竹”名称的由来与下列哪项有关？A、形状像竹子 B、声音像劈竹子一样响亮 C、颜色像绿竹 D、燃竹而爆, D、燃竹而爆
210,二百五与谁的死有关？a、苏秦 b、商鞅 c、齐王,a、苏秦
211,()是新能源汽车在整个电池包设计和制造过程中发挥轻量化程度时最重要的部分？A、箱体 B、电池包结构件 C、电芯 D、附件,A、箱体
212,人民大会堂国宴菜系是?A、苏菜B、 微菜C、唐菜D、粤菜,A、苏菜
213,胡说八道中的胡字指的是?A、胡人B、胡说C、 胡乱D、胡同,A、胡人
214,轨道交通的能源消耗和环境污染相当于城市道路交通的多少?A、1/2-1/3 B、1/4-1/5 C、1/7-1/8,B、1/4-1/5
215,唯一3000年没有改名的城市是?A、西安B、临潼C、邯郸D、驻马店,C、邯郸
216,地球上皮毛最保暖的动物是?A、企鹅B、北极熊C、老虎D、鲸鱼,B、北极熊
217,极化会对晶体结构产生显著影响，可使键性由(  ) 过渡，最终使晶体结 构类型发生变化?A、共价键向离子键 B、离子键向共价键 C、金属键向共价键 D、键金属向离子键,B、离子键向共价键
218,中国旅游的标志是?A、故宫B、长城C、马踏飞燕D、秦兵马俑,C、马踏飞燕
219,补充哪种维生素能有效预防夜盲症?A、 维生素A B、维生素B C、维生素C D、维生素D,A、 维生素A 
220,通常情况下，当氧化物在杂质浓度较低时，其在高温条件下引起的扩散主要是( )？A、本征扩散B、非本征扩散C、互扩散D、A+B,A、本征扩散
221,世界上最常见的血型是?A、A型B、B型C:AB 型D、O型,D、O型
222,甲骨文最早是在() 上发现的?A、青铜器B、药材C:墓碑D、竹简,B、药材
223,洛氏硬度HRC测量时，采用 (  )压头A、金刚石圆锥B、 淬火钢球C、正四棱锥,A、金刚石圆锥
224,谁是使用筷子第一人?A、尧 B、舜 C、禹 D、汤, C、禹
225,中国最早的邮票是?A、故宫邮票B、长城邮票C、大龙邮票D、桂林邮票,C、大龙邮票
226,金属的压力加工性能主要决定于材料下列性能中的？A、塑性与强度B、耐腐蚀性C、热膨胀性,A、塑性与强度
227,飞的最高的鸟是?A、班头雁B、黄嘴山鸦C、大天鹅D、安第斯神鹰,A、班头雁
228,航天员上天后身高会如何变化?A、不变B、变矮C、变高D、因人而异,C、变高
229,一般碳钢中碳的质量分数  )的钢，焊接性能良好A、<0.4%B、0.4%~0.6%c、>0.6%,A、<0.4%
230,衣冠禽兽最早指?A、官员B、君子C、坏人D、戏子,A、官员
231,大姨妈主要来源是?A、动脉B、静脉C、75%动脉，25%静脉D、25%动脉，75%静脉,C、75%动脉，25%静脉
232,通常材料的硬度在（）时，切削加工性能良好A、200~300HBSB、170~230HBS C、40~45HRC,B、170~230HBS 
233,人造血液是什么颜色的?A、红色B、白色C、黑色D、黄色,B、白色
234,GDP是指一个国家 (或地区)所有常住单位在定时期内生产活动的最终成果，其计算采用的是?A、国土原则B、国民原则C、国家原则D、以上均错,A、国土原则
235,在轻量化汽车材料中，属于镁合金特点的是？A、易加工 B.比强度、比刚度高 C、阻尼减震性能高 D、以上都对, D、以上都对
236,人民币是哪年正式加入IMF特别提款权货币篮子的?A、2013年B、2015年C、2016年D、2017年,B、2015年
237,“女司机都是马路杀手”属于什么效应?A、晕轮效应B、刻板效应C、马太效应D、棘轮效应,B、刻板效应
238,在轻量化汽车材料中，镁合金的密度约为铝合金的？A、1/2 B、2/3 C、1/3 D、1/4,B、2/3
239,以下唯一没有签过不平等条约的朝代是?A、唐朝B、宋朝C、元朝D、明朝,D、明朝
240,用冰块冷冻食物，最好把冰块放在食物的？A、上方 B、下方 C、中间,B、下方
241,白酒存放时间越长，香气越淳。原因是( )A、醛类物质减少了，酷类物质增多了 B、醋类物质减少了，醛类物质增多了 C、酒中生成了氨基酸 D、酒精有香气,A、醛类物质减少了，酷类物质增多了 
242,汽车轻量化材料中镁合金在汽车上使用最早的部件是?A发动机悬架 B轮辋 c离合器壳体  D、离合器踏板, B轮辋
243,"第一台电子计算机是1946年在美国研制的,该机的英文缩写名是？A、ENIAC B、EDVAC C、EDSAC D、MARK-II",A、ENIAC 
244,急性化脓性梗阻性胆管炎最常见的梗阻原因是A、胆道先天畸形b、胆管炎性狭窄c、胰头癌d、胆道结石,d、胆道结石
245,汽车生产上使用最多的材料是？A、铝合金B、镁合金C、钢铁D、以上都不对,C、钢铁
246,诊断阑尾炎最有意义的体征是？A、恶心、呕吐b、转移性右下腹痛c、右下腹固定性压痛d、墨菲氏征(+),c、右下腹固定性压痛
247,食管术后若无并发症一般进流食的时间在？a、术后3天b、疼痛消失体温正常后c、术后10-12天d、肠蠕动恢复肛门排气后.循序进食,d、肠蠕动恢复肛门排气后.循序进食
248,在汽车轻量化材料中，铝合金的回收量是？A、80%B、100%C、95%D、85%,B、100%
